song_name|song_popularity|song_duration_ms|acousticness|danceability|energy|instrumentalness|key|liveness|loudness|audio_mode|speechiness|tempo|time_signature|audio_valence
Boulevard of Broken Dreams|73|262333|0.005520000000000001|0.496|0.682|2.94e-05|8|0.0589|-4.095|1|0.0294|167.06|4|0.474
In The End|66|216933|0.0103|0.542|0.853|0.0|3|0.10800000000000001|-6.407|0|0.0498|105.256|4|0.37
Seven Nation Army|76|231733|0.00817|0.737|0.46299999999999997|0.447|0|0.255|-7.827999999999999|1|0.0792|123.881|4|0.324
By The Way|74|216933|0.0264|0.451|0.97|0.00355|0|0.102|-4.938|1|0.107|122.444|4|0.198
How You Remind Me|56|223826|0.0009539999999999999|0.447|0.7659999999999999|0.0|10|0.113|-5.065|1|0.0313|172.011|4|0.574
Bring Me To Life|80|235893|0.00895|0.316|0.945|1.85e-06|4|0.396|-3.1689999999999996|0|0.124|189.93099999999998|4|0.32
Last Resort|81|199893|0.000504|0.581|0.887|0.0011099999999999999|4|0.268|-3.659|0|0.0624|90.57799999999999|4|0.7240000000000001
Are You Gonna Be My Girl|76|213800|0.00148|0.613|0.953|0.000582|2|0.152|-3.435|1|0.0855|105.046|4|0.537
Mr. Brightside|80|222586|0.00108|0.33|0.9359999999999999|0.0|1|0.0926|-3.66|1|0.0917|148.112|4|0.23399999999999999
Sex on Fire|81|203346|0.00172|0.542|0.905|0.0104|9|0.136|-5.653|1|0.054000000000000006|153.398|4|0.374
The Middle|78|168253|0.0424|0.629|0.897|0.0|2|0.263|-3.4010000000000002|1|0.0483|161.944|4|0.93
Numb|63|185586|0.0046|0.496|0.863|0.0|9|0.639|-4.1530000000000005|1|0.0381|110.01799999999999|4|0.243
Smooth Criminal|75|209266|0.00434|0.647|0.9640000000000001|0.0036|9|0.15|-4.225|0|0.06|126.94200000000001|4|0.875
Can't Stop|81|269000|0.0179|0.618|0.938|0.0|9|0.16699999999999998|-3.4419999999999997|1|0.0456|91.455|4|0.875
Chop Suey!|69|210240|0.00035299999999999996|0.42|0.929|0.0007469999999999999|7|0.122|-3.8989999999999996|0|0.121|127.204|4|0.3
Take Me Out|77|237026|0.00042300000000000004|0.278|0.6759999999999999|0.0008990000000000001|9|0.136|-8.821|1|0.0371|104.545|4|0.494
I Miss You|71|227240|0.0013599999999999999|0.659|0.778|6.79e-06|11|0.0841|-6.422999999999999|1|0.0379|110.022|4|0.623
Best of You|62|256600|0.00701|0.37|0.9440000000000001|2.8999999999999998e-06|1|0.135|-4.979|0|0.0767|130.315|4|0.345
I Write Sins Not Tragedies|77|187613|0.0938|0.5670000000000001|0.795|0.0|9|0.114|-4.985|0|0.134|170.06|4|0.635
Kryptonite|79|233933|0.006640000000000001|0.545|0.865|1.12e-05|11|0.168|-5.707999999999999|0|0.0286|99.01|4|0.5429999999999999
The Kill (Bury Me)|69|231533|0.0014|0.309|0.912|0.000271|4|0.5820000000000001|-3.8810000000000002|0|0.0646|183.035|3|0.302
Use Somebody|79|230760|0.005520000000000001|0.276|0.715|0.000417|0|0.201|-5.356|1|0.0432|137.028|4|0.17300000000000001
No One Knows|13|255066|0.0137|0.518|0.5379999999999999|0.000398|0|0.141|-5.818|1|0.0486|170.953|4|0.687
Jerk It Out|62|195666|0.0171|0.58|0.981|1.07e-05|8|0.386|-2.603|0|0.06|134.007|4|0.861
Uprising|77|304840|0.000202|0.602|0.905|0.064|2|0.11699999999999999|-4.046|1|0.0775|128.019|4|0.41100000000000003
Hey There Delilah|79|232533|0.872|0.657|0.29100000000000004|0.0|2|0.114|-10.572000000000001|1|0.0293|103.973|4|0.298
Blurry|28|303920|0.0102|0.44|0.932|0.0|3|0.142|-4.488|0|0.0584|157.438|4|0.495
American Idiot|78|176346|2.64e-05|0.38|0.988|7.859999999999999e-05|1|0.368|-2.042|1|0.0639|186.113|4|0.769
Welcome to the Black Parade|77|311106|0.00028900000000000003|0.217|0.905|0.00011|2|0.222|-4.103|1|0.0752|96.95|4|0.23600000000000002
Gives You Hell|71|213106|0.0156|0.7140000000000001|0.725|0.0|4|0.0726|-6.4110000000000005|1|0.0402|99.988|4|0.59
All My Life|11|262733|0.000194|0.5820000000000001|0.597|0.000273|5|0.517|-5.671|1|0.0512|167.738|4|0.674
Like a Stone|77|293960|0.00797|0.614|0.568|0.0|7|0.0997|-5.477|0|0.0276|107.84899999999999|4|0.516
It's Been Awhile|65|264706|0.0018899999999999998|0.509|0.774|0.000549|6|0.14300000000000002|-4.053999999999999|1|0.0338|116.529|4|0.0824
I Hate Everything About You|75|231480|0.00461|0.498|0.83|0.0|6|0.139|-5.157|0|0.0421|89.34200000000001|4|0.45299999999999996
Rollin' (Air Raid Vehicle)|74|213760|0.00506|0.599|0.932|0.0|9|0.26899999999999996|-3.3280000000000003|1|0.18|96.234|4|0.6920000000000001
Fat Lip|74|178266|0.000618|0.574|0.9109999999999999|0.0|9|0.0769|-5.176|1|0.0715|98.075|4|0.573
The Pretender|11|269373|0.000917|0.433|0.9590000000000001|0.0|9|0.027999999999999997|-4.04|1|0.0431|172.984|4|0.365
Savior|73|242280|0.00164|0.5489999999999999|0.93|6.670000000000001e-05|5|0.39|-3.468|0|0.0487|112.447|4|0.526
Bodies|74|201960|0.0034700000000000004|0.6559999999999999|0.932|0.00147|4|0.14400000000000002|-3.405|0|0.0708|130.936|4|0.544
